,id,name,channel_name
0,emotesv2_adfadf0ae06a4258adc865761746b227,LionOfYara,global
1,emotesv2_53f6a6af8b0e453d874bbefee49b3e73,NewRecord,global
2,emotesv2_665235901db747b1bd395a5f1c0ab8a9,Lechonk,global
3,emotesv2_291135bb36d24d33bf53860128b5095c,Getcamped,global
4,emotesv2_fcbeed664f7c47d6ba3b57691275ef51,SUBprise,global
5,emotesv2_7f9b025d534544afaf679e13fbd47b88,FallHalp,global
6,emotesv2_2734f1a85677416a9d8f846a2d1b4721,FallCry,global
7,emotesv2_dee4ecfb7f0940bead9765da02c57ca9,FallWinning,global
8,emotesv2_0be25a1663bd472495b91e0302cec166,MechaRobot,global
9,emotesv2_b0c6ccb3b12b4f99a9cc83af365a09f1,ImTyping,global
10,emotesv2_819621bcb8f44566a1bd8ea63d06c58f,Shush,global
11,emotesv2_c0c9c932c82244ff920ad2134be90afb,MyAvatar,global
12,emotesv2_f202746ed88f4e7c872b50b1f7fd78cc,PizzaTime,global
13,emotesv2_ecb0bfd49b3c4325864b948d46c8152b,LaundryBasket,global
14,emotesv2_a2dfbbbbf66f4a75b0f53db841523e6c,ModLove,global
15,emotesv2_e02650251d204198923de93a0c62f5f5,PotFriend,global
16,emotesv2_031bf329c21040a897d55ef471da3dd3,Jebasted,global
17,emotesv2_30050f4353aa4322b25b6b044703e5d1,PogBones,global
18,emotesv2_4c39207000564711868f3196cc0a8748,PoroSad,global
19,emotesv2_7c5d25facc384c47963d25a5057a0b40,KEKHeim,global
20,emotesv2_4acac638cffb4db49f376059f7077dae,CaitlynS,global
21,emotesv2_8b0ac3eee4274a75868e3d0686d7b6f7,HarleyWink,global
22,emotesv2_1fda4a1b40094c93af334f8b60868a7c,WhySoSerious,global
23,emotesv2_d9567e500d78441793bee538dcabc1da,DarkKnight,global
24,emotesv2_89f3f0761c7b4f708061e9e4be3b7d17,FamilyMan,global
25,emotesv2_0ebc590ba68447269831af61d8bc9e0d,RyuChamp,global
26,emotesv2_535e40afa0b34a9481997627b1b47d96,HungryPaimon,global
27,307827377,TransgenderPride,global
28,307827370,PansexualPride,global
29,307827356,NonbinaryPride,global
30,307827340,LesbianPride,global
31,307827332,IntersexPride,global
32,307827326,GenderFluidPride,global
33,307827321,GayPride,global
34,307827313,BisexualPride,global
35,307827267,AsexualPride,global
36,305954156,PogChamp,global
37,304489309,GlitchNRG,global
38,304489128,GlitchLit,global
39,304486324,StinkyGlitch,global
40,304486301,GlitchCat,global
41,302628617,FootGoal,global
42,302628613,FootYellow,global
43,302628600,FootBall,global
44,302537250,BlackLivesMatter,global
45,302426269,ExtraLife,global
46,301696583,VirtualHug,global
47,555555600,R-),global
48,555555599,R),global
49,555555598,;-p,global
50,555555597,;p,global
51,555555596,;-P,global
52,555555595,;P,global
53,555555594,:-p,global
54,555555593,:p,global
55,555555592,:-P,global
56,555555591,:P,global
57,555555590,;-),global
58,555555589,;),global
59,555555588,:-\,global
60,555555587,:\,global
61,555555586,:-/,global
62,555555585,:/,global
63,555555584,<3,global
64,555555583,:-o,global
65,555555582,:o,global
66,555555581,:-O,global
67,555555580,:O,global
68,555555579,8-),global
69,555555578,B-),global
70,555555577,B),global
71,555555576,o.o,global
72,555555575,o_o,global
73,555555574,o.O,global
74,555555573,o_O,global
75,555555572,O.O,global
